Title,Year,citations,Scientific Entity Disambigious,FICE Score
Detecting Translation Direction: A Cross-Domain Study,2015.0,5,"translationese, cross-domain study",0.13514934431658976
Improving the Translation of Discourse Markers for {C}hinese into {E}nglish,2015.0,8,"bilingual, discourse markers, pinyin, latin",0.38830977983696285
Discourse and Document-level Information for Evaluating Language Output Tasks,2015.0,6,"prose, document-level information, natural language tasks",0.37959102243344683
Speeding Document Annotation with Topic Models,2015.0,0,"pdf annotation, topic model",0.26438313911399225
Lifelong Machine Learning for Topic Modeling and Beyond,2015.0,5,"lifelong machine learning, topic modeling",0.1069221386186694
Semantics-based Graph Approach to Complex Question-Answering,2015.0,2,"semantics-based, self question-answering",0.3000771942286423
Recognizing Textual Entailment using Dependency Analysis and Machine Learning,2015.0,7,"neural entailment, dependency analysis, machine learning",0.4026616317541904
Bilingual lexicon extraction for a distant language pair using a small parallel corpus,2015.0,6,"bilingual lexica, range, farness, large tagged corpus",0.36279030117026495
Morphological Paradigms: Computational Structure and Unsupervised Learning,2015.0,4,"contextual grammars, computational study, unsupervised manner",0.47805108123760376
Computational Exploration to Linguistic Structures of Future: Classification and Categorization,2015.0,2,"computational poetry, linguistic models, future, classification, categorization",0.5118630510060043
Proceedings of the 2015 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies,2015.0,0,"2018 conference, north american chapter, computational linguistics association, human language technology",0.6056100744233119
Unsupervised Induction of Semantic Roles within a Reconstruction-Error Minimization Framework,2015.0,27,"unsupervised dop, semantic role, reconstruction-error minimization framework",0.41209946666641795
Predicate Argument Alignment using a Global Coherence Model,2015.0,7,"predicate labelling, coherence model",0.04814804066345035
Improving unsupervised vector-space thematic fit evaluation via role-filler prototype clustering,2015.0,24,"unsupervised vector-space, thematic fit spaces, role-filler prototype clustering",0.11281559239046013
A Compositional and Interpretable Semantic Space,2015.0,53,"compositional semantic space, semantically relevant images",0.8270129453960278
"Randomized Greedy Inference for Joint Segmentation, {POS} Tagging and Dependency Parsing",2015.0,33,"randomized local search, joint segmentation, pos tagging, dependency parsing",0.274045887795556
An Incremental Algorithm for Transition-based {CCG} Parsing,2015.0,15,"incremental mt, tag-based parsing",0.12544699087869182
Because Syntax Does Matter: Improving Predicate-Argument Structures Parsing with Syntactic Features,2015.0,11,"logic, predicate-argument structures parsing, syntactic features",0.31762211400540574
A Hybrid Generative/Discriminative Approach To Citation Prediction,2015.0,2,"hybrid generative/discriminative approach, citation analysis",0.24746622214767588
Weakly Supervised Slot Tagging with Partially Labeled Sequences from Web Search Click Logs,2015.0,28,"weakly supervised slot tagging, labeled data, click logs",0.13830117169370326
Not All Character N-grams Are Created Equal: A Study in Authorship Attribution,2015.0,124,"letter n-grams, authorship attribution",0.3686794329429176
Effective Use of Word Order for Text Categorization with Convolutional Neural Networks,2015.0,686,"format, text categorization, convolutional neural nets",0.6124967092353829
Transition-Based Syntactic Linearization,2015.0,31,"image-based, syntactic regularity",0.7924881275706098
Extractive Summarisation Based on Keyword Profile and Language Model,2015.0,6,"extractive summarization, keyword profile, grammar model",0.5010049012055625
{HEADS}: Headline Generation as Sequence Prediction Using an Abstract Feature-Rich Space,2015.0,39,"headline attention, sequence modeling, abstract feature-rich space",0.8922816354962798
"What{'}s Cookin{'}? Interpreting Cooking Videos using Text, Speech and Vision",2015.0,107,"cooking videos, text, debate, dim",0.5772950752737063
Combining Language and Vision with a Multimodal Skip-gram Model,2015.0,203,"language, dim, multimodal skip-gram model",0.722580354470829
Discriminative Unsupervised Alignment of Natural Language Instructions with Corresponding Video Segments,2015.0,25,"unsupervised categorization, natural language commands, bridge video",0.2954750947217099
{T}opic{C}heck: Interactive Alignment for Assessing Topic Model Stability,2015.0,30,"topiccheck, interactive plot, topic model",0.35316379828715305
Inferring latent attributes of {T}witter users with label regularization,2015.0,21,"latent attributes, twitter user, label regularization",0.6712121985128313
A Neural Network Approach to Context-Sensitive Generation of Conversational Responses,2015.0,698,"neural network, context-setters, conversational aspects",0.6679487952586478
How to Make a Frenemy: Multitape {FST}s for Portmanteau Generation,2015.0,12,"frenemy, multitape fsts, portmanteau creation",0.0
Aligning Sentences from Standard {W}ikipedia to {S}imple {W}ikipedia,2015.0,68,"nut, spoken wikipedia",0.4414167877580095
Inducing Lexical Style Properties for Paraphrase and Genre Differentiation,2015.0,40,"lexical formality, paraphrase, genre variation",0.005125309746818346
Entity Linking for Spoken Language,2015.0,10,"node linking, spoken language",0.6769593320086096
Spinning Straw into Gold: Using Free Text to Train Monolingual Alignment Models for Non-factoid Question Answering,2015.0,14,"free text, multilingual topic model, non-factoid question",0.00042338513070661055
Personalized Page Rank for Named Entity Disambiguation,2015.0,81,"personalized page rank, disambiguation task",0.2801556605180032
When and why are log-linear models self-normalizing?,2015.0,39,"log-linear model, self-recovery",0.8635244631008037
Deep Multilingual Correlation for Improved Word Embeddings,2015.0,127,"multilingual clustering, word embeddings",0.8235771087917115
Disfluency Detection with a Semi-{M}arkov Model and Prosodic Features,2015.0,36,"disfluency model, semi-markov model, prosodic features",0.24742189229970976
Empty Category Detection With Joint Context-Label Embeddings,2015.0,3,"empty category, sense-directed embeddings",0.14240773417870034
Incrementally Tracking Reference in Human/Human Dialogue Using Linguistic and Extra-Linguistic Information,2015.0,9,"tracking reference, human/human dialogue, linguistic data, extra-linguistic data",4.837978795357856e-09
Digital Leafleting: Extracting Structured Data from Multimedia Online Flyers,2015.0,3,"digital leafleting, data structure, online flyers",0.5108458081598137
Multi-Target Machine Translation with Multi-Synchronous Context-free Grammars,2015.0,5,"multi-modal translation, synchronous context-free grammar",0.0
Sign constraints on feature weights improve a joint model of word segmentation and phonology,2015.0,10,"empty argument, feature weight, joint model, word segmentation, phonology",0.4458993435112306
Semi-Supervised Word Sense Disambiguation Using Word Embeddings in General and Specific Domains,2015.0,96,"supervised word-sense disambiguation, word embeddings, complex domain, large domains",0.20383480662976555
Continuous Space Representations of Linguistic Typology and their Application to Phylogenetic Inference,2015.0,18,"discrete space, term typology, phylogenetic tools, flow",0.8649020273099455
Interpreting Compound Noun Phrases Using Web Search Queries,2015.0,12,"noun phrases, web queries",0.2995295745305606
Lexicon-Free Conversational Speech Recognition with Neural Networks,2015.0,116,"speech-centric, neural networks",0.003921855564398835
{I} Can Has Cheezburger? A Nonparanormal Approach to Combining Textual and Visual Information for Predicting and Generating Popular Meme Descriptions,2015.0,20,"nonparametric, textual content, geo-information, limit, api, troll meme",0.4317300421188552
A Transition-based Algorithm for {AMR} Parsing,2015.0,129,"web-based algorithm, amr parsing",0.7247424475189403
The Geometry of Statistical Machine Translation,2015.0,4,"geometry, statistic machine translation",0.5882521288055248
Data-driven sentence generation with non-isomorphic trees,2015.0,25,"data-driven sentence generation, non-projective trees",0.029213840368006005
Latent Domain Word Alignment for Heterogeneous Corpora,2015.0,8,"latent domain, wordrank, heterogeneous",0.44119764508124804
Extracting Human Temporal Orientation from {F}acebook Language,2015.0,28,"temporally, twitter language",0.1771412410380908
An In-depth Analysis of the Effect of Text Normalization in Social Media,2015.0,19,"in-depth study, basis, text normalization, social media",0.7905209058289349
Using Summarization to Discover Argument Facets in Online Idealogical Dialog,2015.0,38,"summarization, argument facets, online idealogical dialog",0.6243420057201282
Active Learning with Rationales for Text Classification,2015.0,25,"active learning, rationales, text games",0.5467728272311532
Inferring Temporally-Anchored Spatial Knowledge from Semantic Roles,2015.0,7,"semantic proto-role linking model, semantic role",0.7104190409409132
A Dynamic Programming Algorithm for Tree Trimming-based Text Summarization,2015.0,4,"dynamic programming algorithm, query-based text summarization",0.0
Modeling Word Meaning in Context with Substitute Vectors,2015.0,39,"word meaning, prose, vectors, test",0.27477759340771635
Corpus-based discovery of semantic intensity scales,2015.0,9,"pod, nature, semantic overlap scoring",0.2662387477407067
Dialogue focus tracking for zero pronoun resolution,2015.0,9,"motivated formant, zero pronoun",0.5934940638279369
D{\'e}j{\`a} Image-Captions: A Corpus of Expressive Descriptions in Repetition,2015.0,33,"d'ej\`a image-captions, pod, expressiveness, senses",0.20499930898587596
Inferring Missing Entity Type Instances for Knowledge Base Completion: New Dataset and Methods,2015.0,54,"entity type sequence, knowledge base completion, dataset, flow",0.4480385585400952
Robust Morphological Tagging with Word Representations,2015.0,39,"morphology tagging, word types",0.24788333652154115
{E}nglish orthography is not {``}close to optimal{''},2015.0,3,shared orthography,0.0
{LCCT}: A Semi-supervised Model for Sentiment Classification,2015.0,26,"lcc, semi-supervised model, it strategy",0.005152710734499987
Multiview {LSA}: Representation Learning via Generalized {CCA},2015.0,75,"multiview lsa, token graph modeling, regression cca",0.0
{NASARI}: a Novel Approach to a Semantically-Aware Representation of Items,2015.0,97,"dogri, image-text discourse relations, items",0.8773837487481002
Towards a standard evaluation method for grammatical error detection and correction,2015.0,33,"unified evaluation method, spelling error detection, tag",0.7162002915951962
Using Zero-Resource Spoken Term Discovery for Ranked Retrieval,2015.0,6,"zero-shot reading comprehension, rankme",0.8045256084805417
Constraint-Based Models of Lexical Borrowing,2015.0,20,"constraint-based model, lexical",0.43707214579067133
Model Invertibility Regularization: Sequence Alignment With or Without Parallel Data,2015.0,5,"label regularization, sequence modeling, parallel data",0.7783973800805639
Jointly Modeling Inter-Slot Relations by Random Walk on Knowledge Graphs for Unsupervised Spoken Language Understanding,2015.0,20,"non-local relations, random walk, action graphs, unsupervised translation task",0.7749763314030247
Expanding Paraphrase Lexicons by Exploiting Lexical Variants,2015.0,4,"live lexicons, lexical variants",0.813879607081559
Diamonds in the Rough: Event Extraction from Imperfect Microblog Data,2015.0,10,"maps, event threads, microblog data",0.19762793521784738
Unsupervised Dependency Parsing: Let{'}s Use Supervised Parsers,2015.0,20,"unlabeled dependency parsing, turbo parsers",0.03384820501632979
A Linear-Time Transition System for Crossing Interval Trees,2015.0,17,"multi-phase model, traverse trees",0.000179448394003634
Unsupervised Multi-Domain Adaptation with Feature Embeddings,2015.0,46,"unsupervised domain adaptation, node embeddings",0.7810993955238767
Ontologically Grounded Multi-sense Representation Learning for Semantic Vector Space Models,2015.0,93,"ontologically grounded multi-sense representation, copying, semantic vector space model",0.07205157364641257
Subsentential Sentiment on a Shoestring: A Crosslingual Analysis of Compositional Classification,2015.0,9,"subsentential sentiment, multilinguisation, compositional types",0.7236190516963923
Cost Optimization in Crowdsourcing Translation: Low cost translations made even cheaper,2015.0,7,"parametering, crowdsourced translation, low-cost",0.008517163535647397
Multitask Learning for Adaptive Quality Estimation of Automatically Transcribed Utterances,2015.0,21,"multitask learning, quality estimation, user utterances",0.3986824793689252
Incorporating Word Correlation Knowledge into Topic Modeling,2015.0,75,"word usage graphs, topic modeling",0.834171440845138
The Unreasonable Effectiveness of Word Representations for {T}witter Named Entity Recognition,2015.0,50,"word types, twitter, recognizing entity",0.5069183239726648
Is Your Anchor Going Up or Down? Fast and Accurate Supervised Topic Models,2015.0,25,"anchor, supervised topic model",0.4680396975113339
Grounded Semantic Parsing for Complex Knowledge Extraction,2015.0,22,"semantic overfitting, complex knowledge extraction",0.29002698965930884
Sentiment after Translation: A Case-Study on {A}rabic Social Media Posts,2015.0,114,"i, bilingual, case study, arabic social media posts",0.7265743293760825
Using External Resources and Joint Learning for Bigram Weighting in {ILP}-Based Multi-Document Summarization,2015.0,27,"external resources, dual learning, bigram weighting, entity-supported summarization",0.11038426025176248
Transforming Dependencies into Phrase Structures,2015.0,20,"dependencies, phrase models",0.2161392062455142
Improving the Inference of Implicit Discourse Relations via Classifying Explicit Discourse Connectives,2015.0,67,"learners, discourse marker relations, correcting, implicit discourse elements",0.33600856319094097
Solving Hard Coreference Problems,2015.0,74,coreference rules,0.8009294470521959
Pragmatic Neural Language Modelling in Machine Translation,2015.0,29,"pragmatic neural model, machine translation",0.3048736773169112
Key Female Characters in Film Have More to Talk About Besides Men: Automating the {B}echdel Test,2015.0,21,"key female characters, film, automating, the bechdel test",0.517123858833622
Semantic Grounding in Dialogue for Complex Problem Solving,2015.0,2,"semantic grounding, dialogue, problem solving",0.02434524400525595
Learning Knowledge Graphs for Question Answering through Conversational Dialog,2015.0,91,"action graphs, guesswork, conversational dialog",0.8559715526966025
Sentence segmentation of aphasic speech,2015.0,13,"word segmentation, aphasic speech",0.3874657534591085
Semantic parsing of speech using grammars learned with weak supervision,2015.0,4,"semantic parsing, debate, grammars, weak link",0.30900290236593
Early Gains Matter: A Case for Preferring Generative over Discriminative Crowdsourcing Models,2015.0,17,"bits, sts, i, generative, implicit crowdsourcing",0.7429269337968631
Optimizing Multivariate Performance Measures for Learning Relation Extraction Models,2015.0,4,"multivariate evaluation measures, relation modeling, optimize",0.3129645251866907
Convolutional Neural Network for Paraphrase Identification,2015.0,180,"convolution neural network, paraphrase detection",0.8976531186174852
Representation Learning Using Multi-Task Deep Neural Networks for Semantic Classification and Information Retrieval,2015.0,299,"token graph modeling, multi-task neural networks, semantic core, information retrieval",0.41238853667154185
Inflection Generation as Discriminative String Transduction,2015.0,74,"inflects, discriminative string transduction",0.0
Penalized Expectation Propagation for Graphical Models over Strings,2015.0,5,"convergence tests, graphics, strings",0.15380809751481975
Joint Generation of Transliterations from Multiple Representations,2015.0,7,"joint entity, transliterate, dual representation",0.7579823591697776
Prosodic boundary information helps unsupervised word segmentation,2015.0,6,"prosodic segmentation, unsupervized word segmentation",0.29879829960715365
So similar and yet incompatible: Toward the automated identification of semantically compatible words,2015.0,15,"semantically close terms, manual identification",0.0008072460086612221
Do Supervised Distributional Methods Really Learn Lexical Inference Relations?,2015.0,185,"distributional method, lexical relations",0.6931442366393155
A Word Embedding Approach to Predicting the Compositionality of Multiword Expressions,2015.0,76,"word embedding, limit, compositionality, multiword expressions",0.6346857385302321
Word Embedding-based Antonym Detection using Thesauri and Distributional Information,2015.0,88,"word embedding, antonym detection, thesauri, scientific data",0.6646761326582205
A Comparison of Word Similarity Performance Using Explanatory and Non-explanatory Texts,2015.0,11,"mixed word, explanatory text",2.4535078622101025e-06
Morphological Modeling for Machine Translation of {E}nglish-Iraqi {A}rabic Spoken Dialogs,2015.0,5,"model morphology, machine translation, english-amr alignment",0.41642182835138575
Continuous Adaptation to User Feedback for Statistical Machine Translation,2015.0,2,"rapid adaptation, user feedback, statistic machine translation",0.28246000374800845
Normalized Word Embedding and Orthogonal Transform for Bilingual Word Translation,2015.0,283,"word embedding space, orthogonal transform, corpus translation",0.49105069545754576
Fast and Accurate Preordering for {SMT} using Neural Networks,2015.0,30,"preordering, statistical mt (machine translation), neural networks",0.631063542382454
{APRO}: All-Pairs Ranking Optimization for {MT} Tuning,2015.0,7,"apro, all-pairs ranking optimization, mt",0.11853003313790722
Paradigm classification in supervised learning of morphology,2015.0,62,"paradigm level, supervised learning, morphology",0.3897060038449793
Shift-Reduce Constituency Parsing with Dynamic Programming and {POS} Tag Lattice,2015.0,19,"shift-reduce constituency parsing, cgi programming, pos tag lattice",0.1156816343905348
Unsupervised Code-Switching for Multilingual Historical Document Transcription,2015.0,14,"unsupervised tokenization, multilingual xml",0.13343716197202138
Matching Citation Text and Cited Spans in Biomedical Literature: a Search-Oriented Approach,2015.0,13,"citation text, cited spans, biomedical literature, data-oriented model",0.8164774605323073
Effective Feature Integration for Automated Short Answer Scoring,2015.0,34,"feature reduction, short answer assessment",0.503252499576025
Socially-Informed Timeline Generation for Complex Events,2015.0,19,"socially-informed timeline, events",0.38989855227029935
Movie Script Summarization as Graph-based Scene Extraction,2015.0,40,"movie script, summarization, graph-based scene extraction",0.4014774955553032
Toward Abstractive Summarization Using Semantic Representations,2015.0,181,"abstractive summaries, semantic representations",0.898281755955818
Encoding World Knowledge in the Evaluation of Local Coherence,2015.0,12,"world knowledge, audit, local coherence, api",0.30174237380282604
{C}hinese Event Coreference Resolution: An Unsupervised Probabilistic Model Rivaling Supervised Resolvers,2015.0,9,"polish coreference corpus, unsupervised probabilistic model, multiple resolvers",0.0
Removing the Training Wheels: A Coreference Dataset that Entertains Humans and Challenges Computers,2015.0,15,"basic needs, coreference data, human, laptop",0.40948672376841333
Injecting Logical Background Knowledge into Embeddings for Relation Extraction,2015.0,183,"logical background knowledge, embeddings, relation learning",0.7058990985001412
Unsupervised Entity Linking with {A}bstract {M}eaning {R}epresentation,2015.0,78,"unsupervised entity linking, concrete concept meaning",0.6406464881009724
{I}dest: Learning a Distributed Representation for Event Patterns,2015.0,5,"ide, dual representation, event patterns",0.043640331556676015
High-Order Low-Rank Tensors for Semantic Role Labeling,2015.0,36,"high-order, low-rank tensors, semantic role label",0.7183475957230461
Lexical Event Ordering with an Edge-Factored Model,2015.0,12,"lexical tool, tag, edge-factored model",0.08820692416214417
Bag-of-Words Forced Decoding for Cross-Lingual Information Retrieval,2015.0,13,"bag-of-words, decoding phase, cross-lingual retrieval",0.23720499730854927
Accurate Evaluation of Segment-level Machine Translation Metrics,2015.0,70,"machine translation metrics, audit",0.2794520129330579
Leveraging Small Multilingual Corpora for {SMT} Using Many Pivot Languages,2015.0,19,"multilingual corpora, statistical mt (machine translation), online pivot",0.4403233480305121
Why Read if You Can Scan? Trigger Scoping Strategy for Biographical Fact Extraction,2015.0,4,"be, scan, scoping task, price history",0.8022589580537692
Lachmannian Archetype Reconstruction for Ancient Manuscript Corpora,2015.0,4,"lachmannian archetype, layout, ancient manuscript corpora",0.48752747371133465
Distributed Representations of Words to Guide Bootstrapped Entity Classifiers,2015.0,22,"word-class distributions, bootstrapping corpora",0.0061368817175060375
Multi-Task Word Alignment Triangulation for Low-Resource Languages,2015.0,5,"multi-word extraction, triangulation, outlier languages",0.017328203859278257
Automatic cognate identification with gap-weighted string subsequences.,2015.0,15,"cognate identification, gap-weighted string subsequences",0.3615515394023828
Short Text Understanding by Leveraging Knowledge into Topic Model,2015.0,13,"short text aggregation, mute, topic model",0.5620871133169684
Unsupervised Most Frequent Sense Detection using Word Embeddings,2015.0,40,"unsupervised visual sense, most frequent sense, word embeddings",0.8235771087917115
Chain Based {RNN} for Relation Classification,2015.0,51,"hybrid rnn, relation learning",0.7058990985001412
{LR} Parsing for {LCFRS},2015.0,6,"lr parsing, lcfrs",0.4429789954215073
Mining for unambiguous instances to adapt part-of-speech taggers to new domains,2015.0,5,"unambiguous, part-of-speech tagger, new domain, mining",0.46894173592789046
Clustering Sentences with Density Peaks for Multi-document Summarization,2015.0,31,"aligning words, density peaks, multi-document summaries",0.4452806876232371
Development of the Multilingual Semantic Annotation System,2015.0,20,"multilingual anonymisation toolkit, health",0.19070835252487106
Unsupervised Sparse Vector Densification for Short Text Similarity,2015.0,66,"unsupervised sparse vector densification, text similarity",0.46398469276388343
"{\#}{W}hy{IS}tayed, {\#}{W}hy{IL}eft: Microblogging to Make Sense of Domestic Abuse",2015.0,16,"\#wow, \#whyileft, microblogging, domestic abuse",0.4225631649860212
Morphological Word-Embeddings,2015.0,80,"ethical, word-embedding",0.38438942670036924
Recognizing Social Constructs from Textual Conversation,2015.0,1,"social context, textual economy",0.8570385328818854
Two/Too Simple Adaptations of {W}ord2{V}ec for Syntax Problems,2015.0,307,"gov2vec, syntax models, causes",0.4663496597711071
Estimating Numerical Attributes by Bringing Together Fragmentary Clues,2015.0,11,"image attributes, fragmentary clues",0.22505299107576604
Unsupervised {POS} Induction with Word Embeddings,2015.0,63,"unsupervised dop, word embeddings",0.8235771087917115
Improving Update Summarization via Supervised {ILP} and Sentence Reranking,2015.0,17,"summarization, supervised ilp (inductive logic programming), sentence weighting",0.6243420057201282
{MPQA} 3.0: An Entity/Event-Level Sentiment Corpus,2015.0,112,"ppdb 0, document-level sentiment",0.1995728168454074
Everyone Likes Shopping! Multi-class Product Categorization for e-Commerce,2015.0,36,"hierarchical categorization, e-commerce",0.7953044597071484
{GPU}-Friendly Local Regression for Voice Conversion,2015.0,0,"crf-lstm text mining method, voice xml",4.012326543567646e-06
Response-based Learning for Machine Translation of Open-domain Database Queries,2015.0,7,"case-based learning, machine translation, open-domain search queries",3.8460928103223324e-05
Context-Dependent Automatic Response Generation Using Statistical Machine Translation Techniques,2015.0,3,"response co-generation, statistical machine translation methods",0.0007626394651829571
Multilingual Open Relation Extraction Using Cross-lingual Projection,2015.0,58,"crosslingual transfer learning, cross-lingual senses",0.735767971576003
Learning to parse with {IAA}-weighted loss,2015.0,9,"parse, iaa-weighted loss",0.39541300823655257
Exploiting Text and Network Context for Geolocation of Social Media Users,2015.0,64,"text, link structure, geolocating, social media users",0.6223796096250505
Discriminative Phrase Embedding for Paraphrase Identification,2015.0,28,"experiential word embeddings, paraphrase detection",0.25293931204764686
Combining Word Embeddings and Feature Embeddings for Fine-grained Relation Extraction,2015.0,39,"word embeddings, node embeddings, large-scale relation",0.4385488423562994
{CASSA}: A Context-Aware Synonym Simplification Algorithm,2015.0,26,"laz, context-aware synonym simplification algorithm",0.23621609442767755
Simple task-specific bilingual word embeddings,2015.0,109,"task-based, bilingual embeddings",0.4430161727794702
Sampling Techniques for Streaming Cross Document Coreference Resolution,2015.0,1,"scanning methods, ua, cross-document event",0.46692979491548925
On the Automatic Learning of Sentiment Lexicons,2015.0,33,"lazy learning, entity lexicons",0.7439501256965346
Large-Scale Native Language Identification with Cross-Corpus Evaluation,2015.0,32,"small-scale cross-language, cross-corpus study",3.5167433964922168e-09
{U}nediting: Detecting Disfluencies Without Careful Transcripts,2015.0,4,"unediting, disfluences, transcripts",1.2188237660248902e-06
Type-Driven Incremental Semantic Parsing with Polymorphism,2015.0,43,"type-driven, incremental parsebanking, polymorphism",0.1047788040745734
Template Kernels for Dependency Parsing,2015.0,5,"template kernels, dependency parsing",0.5003414750718485
Embedding a Semantic Network in a Word Space,2015.0,44,"semanticz, word space, embed",0.38991458441945925
Random Walks and Neural Network Language Models on Knowledge Bases,2015.0,58,"random walk, neural language model, knowledge bases",0.5341604306754415
Identification and Characterization of Newsworthy Verbs in World News,2015.0,0,"newsworthy verbs, world news",0.0
Enhancing {S}umerian Lemmatization by Unsupervised Named-Entity Recognition,2015.0,10,"lemmatizing, unsupervised entity linking",0.6406464881009724
Extracting Information about Medication Use from Veterinary Discussions,2015.0,9,"multimedia, joint effects, health forums",0.027019249686149587
Reserating the awesometastic: An automatic extension of the {W}ord{N}et taxonomy for novel terms,2015.0,22,"reserating the awesometastic, automatic, wordnet(s), novel words",0.5786762127130701
Cross-lingual Text Classification Using Topic-Dependent Word Probabilities,2015.0,5,"cross-lingual classification, prefix probabilities",3.431768219597231e-07
Testing and Comparing Computational Approaches for Identifying the Language of Framing in Political News,2015.0,52,"numerical approaches, language of framing, news field",0.7011763499760565
Echoes of Persuasion: The Effect of Euphony in Persuasive Communication,2015.0,13,"arms, γ, euphony, persuasive effect",0.802647919799838
Translating Videos to Natural Language Using Deep Recurrent Neural Networks,2015.0,188,"videos, natural language, recurrent neural filters",0.8288226525917409
Learning to Interpret and Describe Abstract Scenes,2015.0,29,"copying, imagery, leak, abstract scenes",0.4566473908064227
A Comparison of Update Strategies for Large-Scale Maximum Expected {BLEU} Training,2015.0,8,"flow, data strategies, large-scale expected bleu training",0.32534299210744655
Learning Translation Models from Monolingual Continuous Representations,2015.0,38,"translation model, multilingual predicate matrix",0.11183391122580988
A Corpus and Model Integrating Multiword Expressions and Supersenses,2015.0,58,"pod, hp, multiword expressions, supersenses",0.6230482191561585
Good News or Bad News: Using Affect Control Theory to Analyze Readers{'} Reaction Towards News Articles,2015.0,28,"binding theory, readers' reaction, news video",1.4163860084792645e-09
Do We Really Need Lexical Information? Towards a Top-down Approach to Sentiment Analysis of Product Reviews,2015.0,3,"lexical data, top-down approach, link analysis, product review",0.2722064397810253
How to Memorize a Random 60-Bit String,2015.0,7,"random 60-bit string, memorize",0.0
A {B}ayesian Model for Joint Learning of Categories and their Features,2015.0,2,"bayesian model, dual learning, topic, task",0.5470832819817595
Shared common ground influences information density in microblog texts,2015.0,9,"shared common ground, information density, microblogs",0.6686418274991295
Hierarchic syntax improves reading time prediction,2015.0,23,"hierarchic syntax, reading time models",0.0003126506162499654
Retrofitting Word Vectors to Semantic Lexicons,2015.0,0,"vectorslu, semantic lexicons",0.6434832106565971
"{``}You{'}re Mr. Lebowski, {I}{'}m the Dude{''}: Inducing Address Term Formality in Signed Social Networks",2015.0,28,"phrase structure, social media topics",0.7122679146132453
Unsupervised Morphology Induction Using Word Embeddings,2015.0,96,"unsupervised morphology, word embeddings",0.5884801657892835
Proceedings of the Nineteenth Conference on Computational Natural Language Learning - Shared Task,2015.0,0,"2019 conference on natural language learning, shared task",0.5934293450868264
The {C}o{NLL}-2015 Shared Task on Shallow Discourse Parsing,2015.0,119,"icon-2021 shared task, discourse parses",0.43768106716842814
A Refined End-to-End Discourse Parser,2015.0,52,end-to-end discourse parser,0.0
The {U}ni{TN} Discourse Parser in {C}o{NLL} 2015 Shared Task: Token-level Sequence Labeling with Argument-specific Models,2015.0,17,"dcu discourse parser, cwi shared task 2018, token-based backoff, word-based models",0.6887473895214529
The {S}o{NLP}-{DP} System in the {C}o{NLL}-2015 shared Task,2015.0,11,"u-tbl system, icon-2021 shared task",0.25240800528363505
Shallow Discourse Parsing Using Constituent Parsing Tree,2015.0,7,"discourse parses, tree parsing",0.8765368762917728
A Minimalist Approach to Shallow Discourse Parsing and Implicit Relation Recognition,2015.0,5,"minimalist syntax, discourse parses, cst relation recognition",0.11458656769492603
A Hybrid Discourse Relation Parser in {C}o{NLL} 2015,2015.0,4,"strong neural parser, mol 2015",0.2143200831742922
The {CL}a{C} Discourse Parser at {C}o{NLL}-2015,2015.0,9,"dcu discourse parser, sew-2009",0.28603632371924803
Shallow Discourse Parsing with Syntactic and (a Few) Semantic Features,2015.0,0,"discourse parses, syntactic features, semantic value",0.5535604892696269
{JAIST}: A two-phase machine learning approach for identifying discourse relations in newswire texts,2015.0,5,"kers, two-step learning system, discourse marker relations, newswire text",0.25401853263130936
The {DCU} Discourse Parser: A Sense Classification Task,2015.0,4,"dcu discourse parser, sense induction task",0.37416924825527487
Improving a Pipeline Architecture for Shallow Discourse Parsing,2015.0,7,"pipeline model, discourse parses",0.8987081715117868
A Shallow Discourse Parsing System Based On Maximum Entropy Model,2015.0,1,"discourse parsing features, maximum entropy model",0.12213630358751615
"The {DCU} Discourse Parser for Connective, Argument Identification and Explicit Sense Classification",2015.0,11,"dcu discourse parser, connective, analogy test, general form understanding",0.36178505479628287
Hybrid Approach to {PDTB}-styled Discourse Parsing for {C}o{NLL}-2015,2015.0,5,"hybrid approach, rst discourse parsing, sew-2009",0.30895885524274264
Proceedings of the Nineteenth Conference on Computational Natural Language Learning,2015.0,0,"twelfth conference, artificial language learning",0.08648946984162442
A Coactive Learning View of Online Structured Prediction in Statistical Machine Translation,2015.0,4,"smooth learning, structured inference, statistic machine translation",0.7235152649536849
A Joint Framework for Coreference Resolution and Mention Head Detection,2015.0,43,"joint entity, coreference resolution, mention heads",0.7401131031831675
A Supertag-Context Model for Weakly-Supervised {CCG} Parser Learning,2015.0,4,"context-rule model, weakly-supervised ccg parser learning",0.020407134971176966
A Synchronous Hyperedge Replacement Grammar based approach for {AMR} parsing,2015.0,75,"synchronous vector tag, basis, amr parsing",0.35646137578051423
{AIDA}2: A Hybrid Approach for Token and Sentence Level Dialect Identification in {A}rabic,2015.0,22,"aida2, hybrid approach, api, word level language identification, iraqi",0.45681855203229477
An Iterative Similarity based Adaptation Technique for Cross-domain Text Classification,2015.0,24,"similarity based clustering approach, multi-domain text classification",0.0
"Analyzing Optimization for Statistical Machine Translation: {MERT} Learns Verbosity, {PRO} Learns Length",2015.0,5,"abstract, statistic machine translation, mert, verbose, ʒ, sap",0.3375005142022457
Annotation Projection-based Representation Learning for Cross-lingual Dependency Parsing,2015.0,12,"annotation model, token graph modeling, cross-lingual parser",0.8695762148458149
