Title,Year,Important Words,Citations
Mapping Different Rhetorical Relation Annotations: A Proposal,2015,rhetorical relation annotations,15
Dissecting the Practical Lexical Function Model for Compositional Distributional Semantics,2015,"practical lexical function model, compositional distributional semantics",4
Event Extraction as Frame-Semantic Parsing,2015,"event extraction, frame-semantic parsing",5
Competence in lexical semantics,2015,"competence, lexical semantics",13
Extending a Single-Document Summarizer to Multi-Document: a Hierarchical Approach,2015,"single-document summarizer, multi-document, hierarchical approach",15
Reading Between the Lines: Overcoming Data Sparsity for Accurate Classification of Lexical Relationships,2015,"data sparsity, classification, lexical relationships",27
Multi-Level Alignments As An Extensible Representation Basis for Textual Entailment Algorithms,2015,"multi-level alignments, extensible representation basis, textual entailment algorithms",12
Leveraging Preposition Ambiguity to Assess Compositional Distributional Models of Semantics,2015,"preposition ambiguity, compositional distributional models, semantics",13
Learning to predict script events from domain-specific text,2015,"learning, predict, script events, domain-specific text",19
Combining Open Source Annotators for Entity Linking through Weighted Voting,2015,"open source annotators, entity linking, weighted voting",15
Automatic Generation of a Lexical Resource to support Semantic Role Labeling in {P}ortuguese,2015,"automatic generation, lexical resource, semantic role labeling, portuguese",5
Can Selectional Preferences Help Automatic Semantic Role Labeling?,2015,"selectional preferences, automatic semantic role labeling",5
Implicit Entity Recognition in Clinical Documents,2015,"implicit entity recognition, clinical documents",10
A Distant Supervision Approach to Semantic Role Labeling,2015,"distant supervision, semantic role labeling",10
Discovering Hypernymy Relations using Text Layout,2015,"hypernymy relations, text layout",6
The complexity of finding the maximum spanning {DAG} and other restrictions for {DAG} parsing of natural language,2015,"complexity, maximum spanning dag, restrictions, dag parsing, natural language",8
Incremental Semantic Construction Using Normal Form {CCG} Derivation,2015,"incremental semantic construction, normal form ccg derivation",1
Dependency-Based Semantic Role Labeling using Convolutional Neural Networks,2015,"dependency-based semantic role labeling, convolutional neural networks",28
A State-of-the-Art Mention-Pair Model for Coreference Resolution,2015,"state-of-the-art mention-pair model, coreference resolution",5
Resolving Discourse-Deictic Pronouns: A Two-Stage Approach to Do It,2015,"discourse-deictic pronouns, two-stage approach",7
Graph-based Coherence Modeling For Assessing Readability,2015,"graph-based coherence modeling, readability assessment",22
Proceedings of the International Conference Recent Advances in Natural Language Processing,2015,"international conference, recent advances, natural language processing",0
{POS} Tagging for {A}rabic Tweets,2015,"pos tagging, arabic tweets",18
Lexicon-based Sentiment Analysis for {P}ersian Text,2015,"lexicon-based sentiment analysis, persian text",14
Automatic Construction of a {TMF} Terminological Database using a Transducer Cascade,2015,"tmf terminological database, transducer cascade, automatic construction",2
A Statistical Model for Measuring Structural Similarity between Webpages,2015,"statistical model, structural similarity, webpages",1
Predicting the quality of questions on {S}tackoverflow,2015,"quality of questions, stackoverflow",20
How Topic Biases Your Results? A Case Study of Sentiment Analysis and Irony Detection in {I}talian,2015,"topic biases, results, case study, sentiment analysis, irony detection, italian",3
{A}rabic Named Entity Recognition Process using Transducer Cascade and {A}rabic {W}ikipedia,2015,"arabic named entity recognition process, transducer cascade, arabic wikipedia",5
{D}an{P}roof: Pedagogical Spell and Grammar Checking for {D}anish,2015,"danproof, pedagogical spell, grammar checking, danish",10
Maximal Repeats Enhance Substring-based Authorship Attribution,2015,"maximal repeats, substring-based authorship attribution",4
Improving Event Detection with Active Learning,2015,"event detection, active learning",11
Improving Event Detection with Dependency Regularization,2015,"event detection, dependency regularization",8
"Authorship Verification, Average Similarity Analysis",2015,"scientific entities:, authorship verification, average similarity analysis",0
Coreference Resolution to Support {IE} from {I}ndian Classical Music Forums,2015,"coreference resolution, ie (information extraction), indian classical music forums",2
Readability Assessment of Translated Texts,2015,"readability assessment, translated texts",5
Processing and Normalizing Hashtags,2015,"processing, normalizing, hashtags",17
"Tune Your Brown Clustering, Please",2015,brown clustering,18
Temporal Relation Classification using a Model of Tense and Aspect,2015,"temporal relation classification, model of tense and aspect",4
Efficient Named Entity Annotation through Pre-empting,2015,"named entity annotation, pre-empting",1
"A Joint Model of Product Properties, Aspects and Ratings for Online Reviews",2015,"joint model, product properties, aspects, ratings, online reviews",0
Towards Opinion Summarization from Online Forums,2015,"opinion summarization, online forums",8
Cross-lingual Synonymy Overlap,2015,"cross-lingual, synonymy overlap",3
Barbecued Opakapaka: Using Semantic Preferences for Ontology Population,2015,"barbecued opakapaka, semantic preferences, ontology population",3
Towards a Lexicon-grammar based Framework for {NLP}: an Opinion Mining Application,2015,"lexicon-grammar, framework, nlp (natural language processing), opinion mining application",2
Using the Textual Content of the {LMF}-Normalized Dictionaries for Identifying and Linking the Syntactic Behaviors to the Meanings,2015,"textual content, lmf-normalized dictionaries, identifying, linking, syntactic behaviors, meanings",0
Weakly Supervised Definition Extraction,2015,"weakly supervised, definition extraction",16
Jointly Embedding Relations and Mentions for Knowledge Population,2015,"jointly embedding, relations, mentions, knowledge population",16
Distributional Semantics for Resolving Bridging Mentions,2015,"distributional semantics, bridging mentions",5
Text Classification into Abstract Classes Based on Discourse Structure,2015,"text classification, abstract classes, discourse structure",11
Enriching Word Sense Embeddings with Translational Context,2015,"word sense embeddings, translational context",0
Automatic Acquisition of Artifact Nouns in {F}rench,2015,"automatic acquisition, artifact nouns, french",1
Feature-Rich Part-Of-Speech Tagging Using Deep Syntactic and Semantic Analysis,2015,"feature-rich part-of-speech tagging, deep syntactic analysis, semantic analysis",5
The Application of Constraint Rules to Data-driven Parsing,2015,"constraint rules, data-driven parsing",2
Part-of-Speech Tagging for Code-Mixed {E}nglish-{H}indi {T}witter and {F}acebook Chat Messages,2015,"part-of-speech tagging, code-mixed english-hindi, twitter, facebook chat messages",80
Sentiment Analysis in {T}witter for {M}acedonian,2015,"sentiment analysis, twitter, macedonian",26
About Emotion Identification in Visual Sentiment Analysis,2015,"emotion identification, visual sentiment analysis",3
Fine-Grained Sentiment Analysis for Movie Reviews in {B}ulgarian,2015,"fine-grained sentiment analysis, movie reviews, bulgarian",20
Structural Alignment for Comparison Detection,2015,"structural alignment, comparison detection",2
Recognition of {P}olish Temporal Expressions,2015,"polish temporal expressions, recognition",7
Domain Adaptation with Filtering for Named Entity Extraction of {J}apanese Anime-Related Words,2015,"domain adaptation, filtering, named entity extraction, japanese anime-related words",0
Feature Extraction for Native Language Identification Using Language Modeling,2015,"feature extraction, native language identification, language modeling",5
Learning Agglutinative Morphology of {I}ndian Languages with Linguistically Motivated {A}daptor {G}rammars,2015,"agglutinative morphology, indian languages, linguistically motivated adaptor grammars",4
Statistical Sandhi Splitter and its Effect on {NLP} Applications,2015,"statistical sandhi splitter, effect, nlp applications",1
Automatically Identifying Periodic Social Events from {T}witter,2015,"periodic social events, twitter",3
Collecting and Evaluating Lexical Polarity with A Game With a Purpose,2015,"lexical polarity, game with a purpose",13
Medical imaging report indexing: enrichment of index through an algorithm of spreading over a lexico-semantic network,2015,"medical imaging report indexing, index, algorithm, spreading, lexico-semantic network",0
"Taxonomy Beats Corpus in Similarity Identification, but Does It Matter?",2015,"taxonomy, corpus, similarity identification",4
Semantic Parsing via $l_{0}$-norm-based Alignment,2015,"semantic parsing, $l_0$-norm-based alignment",1
A Supervised Semantic Parsing with Lexicon Extension and Syntactic Constraint,2015,"supervised semantic parsing, lexicon extension, syntactic constraint",1
Predicting the Level of Text Standardness in User-generated Content,2015,"text standardness, user-generated content",19
Predicting Inflectional Paradigms and Lemmata of Unknown Words for Semi-automatic Expansion of Morphological Lexicons,2015,"inflectional paradigms, lemmata, unknown words, semi-automatic expansion, morphological lexicons",5
Predicting Correlations Between Lexical Alignments and Semantic Inferences,2015,"correlations, lexical alignments, semantic inferences",0
Learning the Impact of Machine Translation Evaluation Metrics for Semantic Textual Similarity,2015,"machine translation, evaluation metrics, semantic textual similarity",1
{N}orwegian Native Language Identification,2015,"norwegian, native language identification",13
Automatic construction of complex features in Conditional Random Fields for Named Entities Recognition,2015,"automatic construction, complex features, conditional random fields, named entities recognition",7
Pattern Construction for Extracting Domain Terminology,2015,"pattern construction, extracting domain terminology",0
A Procedural Definition of Multi-word Lexical Units,2015,"procedural definition, multi-word lexical units",9
Semi-Supervised Never-Ending Learning in Rhetorical Relation Identification,2015,"semi-supervised never-ending learning, rhetorical relation identification",7
Exposing Paid Opinion Manipulation Trolls,2015,paid opinion manipulation trolls,32
Extractive Summarization by Aggregating Multiple Similarities,2015,"extractive summarization, aggregating, multiple similarities",20
Statistical Machine Translation Improvement based on Phrase Selection,2015,"statistical machine translation, improvement, phrase selection",1
A Simple and Efficient Method to Generate Word Sense Representations,2015,"method, word sense representations",15
"{TBXT}ools: A Free, Fast and Flexible Tool for Automatic Terminology Extraction",2015,"tbxtools, automatic terminology extraction",14
Enlarging the {C}roatian {W}ord{N}et with {WN}-Toolkit and Cro-Deriv,2015,"croatian wordnet, wn-toolkit, cro-deriv",2
A Comparative Study of Different Sentiment Lexica for Sentiment Analysis of Tweets,2015,"comparative study, sentiment lexica, sentiment analysis, tweets",14
Classification of Attributes in a Natural Language Query into Different {SQL} Clauses,2015,"attributes, natural language query, sql clauses",7
Classifying Idiomatic and Literal Expressions Using Vector Space Representations,2015,"idiomatic expressions, literal expressions, vector space representations",6
Extraction of the Multi-word Lexical Units in the Perspective of the {W}ordnet Expansion,2015,"multi-word lexical units, wordnet expansion",8
A New Approach to Automated Text Readability Classification based on Concept Indexing with Integrated Part-of-Speech n-gram Features,2015,"automated text readability classification, concept indexing, integrated part-of-speech n-gram features, new approach",7
Classification of Lexical Collocation Errors in the Writings of Learners of {S}panish,2015,"lexical collocation errors, writings, learners of spanish",0
Measuring Semantic Similarity for {B}engali Tweets Using {W}ord{N}et,2015,"semantic similarity, bengali tweets, wordnet",8
Ordering adverbs by their scaling effect on adjective intensity,2015,"adverbs, scaling effect, adjective intensity",8
b{R}ol: The Parser of Syntactic and Semantic Dependencies for {B}asque,2015,"brol, parser, syntactic dependencies, semantic dependencies, basque",0
Error Analysis and Improving Speech Recognition for {L}atvian Language,2015,"error analysis, speech recognition, latvian language",5
Towards the Unsupervised Acquisition of Implicit Semantic Roles,2015,"unsupervised acquisition, implicit semantic roles",2
Evaluating the Impact of Using a Domain-specific Bilingual Lexicon on the Performance of a Hybrid Machine Translation Approach,2015,"domain-specific bilingual lexicon, hybrid machine translation approach, impact, performance, evaluation",4
Hierarchical Topic Structuring: From Dense Segmentation to Topically Focused Fragments via Burst Analysis,2015,"hierarchical topic structuring, dense segmentation, topically focused fragments, burst analysis",4
Improving Word Sense Disambiguation with Linguistic Knowledge from a Sense Annotated Treebank,2015,"word sense disambiguation, linguistic knowledge, sense annotated treebank",9
Learning Relationship between Authors{'} Activity and Sentiments: A case study of online medical forums,2015,"authors' activity, sentiments, case study, online medical forums",5
Translating from Original to Simplified Sentences using {M}oses: When does it Actually Work?,2015,"original sentences, simplified sentences, moses",2
Automatic Text Simplification for {S}panish: Comparative Evaluation of Various Simplification Strategies,2015,"automatic text simplification, spanish, comparative evaluation, simplification strategies",19
Towards Multilingual Event Extraction Evaluation: A Case Study for the {C}zech Language,2015,"multilingual event extraction evaluation, czech language",0
A {VSM}-based Statistical Model for the Semantic Relation Interpretation of Noun-Modifier Pairs,2015,"vsm-based statistical model, semantic relation interpretation, noun-modifier pairs",5
An {LDA}-based Topic Selection Approach to Language Model Adaptation for Handwritten Text Recognition,2015,"lda-based topic selection approach, language model adaptation, handwritten text recognition",3
Training Automatic Transliteration Models on {DBP}edia Data,2015,"automatic transliteration models, dbpedia data",0
{A}rabic-{E}nglish Semantic Word Class Alignment to Improve Statistical Machine Translation,2015,"arabic-english semantic word class, alignment, improve, statistical machine translation",3
Detection and Fine-Grained Classification of Cyberbullying Events,2015,"detection, fine-grained classification, cyberbullying events",100
A New Approach for Idiom Identification Using Meanings and the Web,2015,"new approach, idiom identification, meanings, the web",4
Learning the Impact and Behavior of Syntactic Structure: A Case Study in Semantic Textual Similarity,2015,"syntactic structure, semantic textual similarity",0
Six Good Predictors of Autistic Text Comprehension,2015,"predictors, autistic text comprehension",11
User Name Disambiguation in Community Question Answering,2015,"user name, disambiguation, community question answering",0
Discovering Causal Relations in Textual Instructions,2015,"causal relations, textual instructions",9
A Large {W}ordnet-based Sentiment Lexicon for {P}olish,2015,"wordnet, sentiment lexicon, polish",22
Named Entity Recognition of Persons{'} Names in {A}rabic Tweets,2015,"named entity recognition, persons' names, arabic tweets",6
One Tree is not Enough: Cross-lingual Accumulative Structure Transfer for Semantic Indeterminacy,2015,"tree, cross-lingual accumulative structure transfer, semantic indeterminacy",0
Lost in Discussion? Tracking Opinion Groups in Complex Political Discussions by the Example of the {FOMC} Meeting Transcriptions,2015,"opinion groups, complex political discussions, fomc meeting transcriptions",7
Proceedings of the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing: Tutorial Abstracts,2015,"53rd annual meeting of the association for computational linguistics, 7th international joint conference on natural language processing, tutorial abstracts",0
Successful Data Mining Methods for {NLP},2015,"data mining, nlp (natural language processing)",4
Structured Belief Propagation for {NLP},2015,"structured belief propagation, nlp (natural language processing)",4
"Sentiment and Belief: How to Think about, Represent, and Annotate Private States",2015,"sentiment, belief, private states, annotate, represent",4
Corpus Patterns for Semantic Processing,2015,"corpus patterns, semantic processing",1
Matrix and Tensor Factorization Methods for Natural Language Processing,2015,"matrix, tensor factorization methods, natural language processing",6
Scalable Large-Margin Structured Learning: Theory and Algorithms,2015,"scalable large-margin, structured learning, theory, algorithms",0
"Detecting Deceptive Opinion Spam using Linguistics, Behavioral and Statistical Modeling",2015,"deceptive opinion spam, linguistics, behavioral modeling, statistical modeling",10
What You Need to Know about {C}hinese for {C}hinese Language Processing,2015,"chinese, chinese language processing",0
Proceedings of the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing (Volume 2: Short Papers),2015,"53rd annual meeting of the association for computational linguistics, 7th international joint conference on natural language processing, volume 2: short papers, proceedings, computational linguistics, natural language processing",0
A Framework for the Construction of Monolingual and Cross-lingual Word Similarity Datasets,2015,"framework, construction, monolingual word similarity datasets, cross-lingual word similarity datasets",49
On metric embedding for boosting semantic similarity computations,2015,"metric embedding, semantic similarity computations, boosting",7
Improving Distributed Representation of Word Sense via {W}ord{N}et Gloss Composition and Context Clustering,2015,"distributed representation, word sense, wordnet gloss composition, context clustering",31
A Multitask Objective to Inject Lexical Contrast into Distributional Semantics,2015,"multitask objective, lexical contrast, distributional semantics",35
Semi-Stacking for Semi-supervised Sentiment Classification,2015,"semi-stacking, semi-supervised sentiment classification",12
Deep {M}arkov Neural Network for Sequential Data Classification,2015,"deep markov neural network, sequential data classification",5
Semantic Analysis and Helpfulness Prediction of Text for Online Product Reviews,2015,"semantic analysis, helpfulness prediction, text, online product reviews",57
Document Classification by Inversion of Distributed Language Representations,2015,"document classification, inversion, distributed language representations",69
Using Tweets to Help Sentence Compression for News Highlights Generation,2015,"tweets, sentence compression, news highlights generation",2
Domain-Specific Paraphrase Extraction,2015,"domain-specific, paraphrase extraction",6
Simplifying Lexical Simplification: Do We Need Simplified Corpora?,2015,"lexical simplification, simplified corpora",108
{Z}oom: a corpus of natural language descriptions of map locations,2015,"zoom, corpus, natural language descriptions, map locations",0
Generating overspecified referring expressions: the role of discrimination,2015,"overspecified referring expressions, discrimination",1
Using prosodic annotations to improve coreference resolution of spoken text,2015,"prosodic annotations, coreference resolution, spoken text",11
Spectral Semi-Supervised Discourse Relation Classification,2015,"spectral, semi-supervised, discourse relation classification",12
{I} do not disagree: leveraging monolingual alignment to detect disagreement in dialogue,2015,"monolingual alignment, disagreement, dialogue",1
Language Models for Image Captioning: The Quirks and What Works,2015,"language models, image captioning",221
A Distributed Representation Based Query Expansion Approach for Image Captioning,2015,"distributed representation, query expansion approach, image captioning",29
Learning language through pictures,2015,"language, pictures",45
Exploiting Image Generality for Lexical Entailment Detection,2015,"image generality, lexical entailment detection",52
Lexicon Stratification for Translating Out-of-Vocabulary Words,2015,"lexicon stratification, translating, out-of-vocabulary words",16
Recurrent Neural Network based Rule Sequence Model for Statistical Machine Translation,2015,"recurrent neural network, rule sequence model, statistical machine translation",8
Discriminative Preordering Meets Kendall{'}s $\tau$ Maximization,2015,"discriminative preordering, kendall's $\tau$ maximization",17
Evaluating Machine Translation Systems with Second Language Proficiency Tests,2015,"machine translation systems, second language proficiency tests",4
Representation Based Translation Evaluation Metrics,2015,"representation based translation, evaluation metrics",15
Exploring the Planet of the {APE}s: a Comparative Study of State-of-the-art Methods for {MT} Automatic Post-Editing,2015,"planet of the apes, comparative study, state-of-the-art methods, mt automatic post-editing",41
Efficient Learning for Undirected Topic Models,2015,"efficient learning, undirected topic models",0
A Hassle-Free Unsupervised Domain Adaptation Method Using Instance Similarity Features,2015,"unsupervised domain adaptation method, instance similarity features",9
Dependency-based Convolutional Neural Networks for Sentence Embedding,2015,"dependency-based, convolutional neural networks, sentence embedding",95
Non-Linear Text Regression with a Deep Convolutional Neural Network,2015,"non-linear text regression, deep convolutional neural network",25
A Unified Learning Framework of Skip-Grams and Global Vectors,2015,"unified learning framework, skip-grams, global vectors",17
Pre-training of Hidden-Unit {CRF}s,2015,"pre-training, hidden-unit crfs (conditional random fields)",18
Distributional Neural Networks for Automatic Resolution of Crossword Puzzles,2015,"distributional neural networks, automatic resolution, crossword puzzles",5
Word Order Typology through Multilingual Word Alignment,2015,"word order typology, multilingual word alignment",33
Measuring idiosyncratic interests in children with autism,2015,"idiosyncratic interests, children, autism",5
Frame-Semantic Role Labeling with Heterogeneous Annotations,2015,"frame-semantic role labeling, heterogeneous annotations",56
Semantic Interpretation of Superlative Expressions via Structured Knowledge Bases,2015,"semantic interpretation, superlative expressions, structured knowledge bases",2
Grounding Semantics in Olfactory Perception,2015,"semantics, olfactory perception",34
Word-based {J}apanese typed dependency parsing with grammatical function analysis,2015,"word-based japanese, typed dependency parsing, grammatical function analysis",4
{KL}cpos3 - a Language Similarity Measure for Delexicalized Parser Transfer,2015,"klcpos3, language similarity measure, delexicalized parser transfer",39
{CCG} Supertagging with a Recurrent Neural Network,2015,"ccg supertagging, recurrent neural network",50
An Efficient Dynamic Oracle for Unrestricted Non-Projective Parsing,2015,"efficient dynamic oracle, unrestricted non-projective parsing",19
Synthetic Word Parsing Improves {C}hinese Word Segmentation,2015,"synthetic word parsing, chinese word segmentation",4
If all you have is a bit of the {B}ible: Learning {POS} taggers for truly low-resource languages,2015,"bit of the bible, learning pos taggers, low-resource languages",58
Improving distant supervision using inference learning,2015,"distant supervision, inference learning",11
A Lexicalized Tree Kernel for Open Information Extraction,2015,"lexicalized tree kernel, open information extraction",5
A Dependency-Based Neural Network for Relation Classification,2015,"dependency-based, neural network, relation classification",180
Embedding Methods for Fine Grained Entity Type Classification,2015,"embedding methods, fine grained entity type classification",88
Sieve-Based Entity Linking for the Biomedical Domain,2015,"sieve-based entity linking, biomedical domain",49
Open {IE} as an Intermediate Structure for Semantic Tasks,2015,"open ie, intermediate structure, semantic tasks",49
Recovering dropped pronouns from {C}hinese text messages,2015,"dropped pronouns, chinese text messages",13
The Users Who Say {`}Ni{'}: Audience Identification in {C}hinese-language Restaurant Reviews,2015,"users, ni, audience identification, chinese-language, restaurant reviews",0
{C}hinese Zero Pronoun Resolution: A Joint Unsupervised Discourse-Aware Model Rivaling State-of-the-Art Resolvers,2015,"chinese zero pronoun resolution, joint unsupervised discourse-aware model, state-of-the-art resolvers",21
Co-Simmate: Quick Retrieving All Pairwise Co-Simrank Scores,2015,"co-simmate, pairwise co-simrank scores",6
Retrieval of Research-level Mathematical Information Needs: A Test Collection and Technical Terminology Experiment,2015,"retrieval, research-level mathematical information needs, test collection, technical terminology experiment",6
Learning to Mine Query Subtopics from Query Log,2015,"learning, mine query subtopics, query log",5
Learning Topic Hierarchies for {W}ikipedia Categories,2015,"learning, topic hierarchies, wikipedia categories",6
Semantic Clustering and Convolutional Neural Network for Short Text Categorization,2015,"semantic clustering, convolutional neural network, short text categorization",156
Document Level Time-anchoring for {T}ime{L}ine Extraction,2015,"document level time-anchoring, timeline extraction",13
Event Detection and Domain Adaptation with Convolutional Neural Networks,2015,"event detection, domain adaptation, convolutional neural networks",213
Seed-Based Event Trigger Labeling: How far can event descriptions get us?,2015,"seed-based event trigger, event descriptions",25
An Empirical Study of {C}hinese Name Matching and Applications,2015,"empirical study, chinese name matching, applications",7
Language Identification and Modeling in Specialized Hardware,2015,"language identification, modeling, specialized hardware",2
Cross-lingual Transfer of Named Entity Recognizers without Parallel Corpora,2015,"cross-lingual transfer, named entity recognizers, parallel corpora",30
Robust Multi-Relational Clustering via $\ell_1$-Norm Symmetric Nonnegative Matrix Factorization,2015,"robust multi-relational clustering, $\ell_1$-norm, symmetric nonnegative matrix factorization",3
Painless Labeling with Application to Text Mining,2015,"painless labeling, application, text mining",0
{F}rame{N}et+: Fast Paraphrastic Tripling of {F}rame{N}et,2015,"framenet+, fast paraphrastic tripling, framenet",49
{IWNLP}: Inverse {W}iktionary for Natural Language Processing,2015,"iwnlp, inverse wiktionary, natural language processing",12
{TR}9856: A Multi-word Term Relatedness Benchmark,2015,"tr9856, multi-word term, relatedness benchmark",12
"{PPDB} 2.0: Better paraphrase ranking, fine-grained entailment relations, word embeddings, and style classification",2015,"ppdb 0, paraphrase ranking, fine-grained entailment relations, word embeddings, style classification",221
Automatic Discrimination between Cognates and Borrowings,2015,"automatic discrimination, cognates, borrowings",12
The Media Frames Corpus: Annotations of Frames Across Issues,2015,"media frames corpus, annotations, frames, issues",84
delta{BLEU}: A Discriminative Metric for Generation Tasks with Intrinsically Diverse Targets,2015,"deltableu, discriminative metric, generation tasks, intrinsically diverse targets",116
{T}ibetan Unknown Word Identification from News Corpora for Supporting Lexicon-based {T}ibetan Word Segmentation,2015,"tibetan unknown word identification, news corpora, lexicon-based tibetan word segmentation",5
Learning Lexical Embeddings with Syntactic and Lexicographic Knowledge,2015,"lexical embeddings, syntactic knowledge, lexicographic knowledge",16
Non-distributional Word Vector Representations,2015,non-distributional word vector representations,73
Early and Late Combinations of Criteria for Reranking Distributional Thesauri,2015,"combinations, criteria, reranking, distributional thesauri",3
Dependency length minimisation effects in short spans: a large-scale analysis of adjective placement in complex noun phrases,2015,"dependency length minimisation effects, short spans, large-scale analysis, adjective placement, complex noun phrases",24
Tagging Performance Correlates with Author Age,2015,"tagging performance, author age",53
User Based Aggregation for Biterm Topic Model,2015,"user based aggregation, biterm topic model",23
The Fixed-Size Ordinally-Forgetting Encoding Method for Neural Network Language Models,2015,"fixed-size ordinally-forgetting encoding method, neural network language models",64
Unsupervised Decomposition of a Multi-Author Document Based on Naive-{B}ayesian Model,2015,"unsupervised decomposition, multi-author document, naive-bayesian model",8
Extended Topic Model for Word Dependency,2015,"extended topic model, word dependency",11
Dependency Recurrent Neural Language Models for Sentence Completion,2015,"dependency, recurrent neural language models, sentence completion",43
Point Process Modelling of Rumour Dynamics in Social Media,2015,"point process modelling, rumour dynamics, social media",30
Learning Hidden {M}arkov Models with Distributed State Representations for Domain Adaptation,2015,"hidden markov models, distributed state representations, domain adaptation",4
{MT} Quality Estimation for Computer-assisted Translation: Does it Really Help?,2015,"mt quality estimation, computer-assisted translation",11
Context-Dependent Translation Selection Using Convolutional Neural Network,2015,"context-dependent translation, convolutional neural network",23
Learning Word Reorderings for Hierarchical Phrase-based Statistical Machine Translation,2015,"word reorderings, hierarchical phrase-based statistical machine translation",4
{UNRAVEL}{---}{A} Decipherment Toolkit,2015,"unravel, decipherment toolkit",3
Multi-Pass Decoding With Complex Feature Guidance for Statistical Machine Translation,2015,"multi-pass decoding, complex feature guidance, statistical machine translation",3
What{'}s in a Domain? Analyzing Genre and Topic Differences in Statistical Machine Translation,2015,"domain, genre, topic differences, statistical machine translation",24
Learning Cross-lingual Word Embeddings via Matrix Co-factorization,2015,"cross-lingual word embeddings, matrix co-factorization",45
Improving Pivot Translation by Remembering the Pivot,2015,pivot translation,5
{B}raille{SUM}: A News Summarization System for the Blind and Visually Impaired People,2015,"braillesum, news summarization system, blind and visually impaired people",0
Automatic Identification of Age-Appropriate Ratings of Song Lyrics,2015,"automatic identification, age-appropriate ratings, song lyrics",3
Ground Truth for Grammatical Error Correction Metrics,2015,"ground truth, grammatical error correction metrics",89
Radical Embedding: Delving Deeper to {C}hinese Radicals,2015,"radical embedding, chinese radicals",39
Automatic Detection of Sentence Fragments,2015,"sentence fragments, automatic detection",3
A Computational Approach to Automatic Prediction of Drunk-Texting,2015,"computational approach, automatic prediction, drunk-texting",9
Reducing infrequent-token perplexity via variational corpora,2015,"infrequent-token perplexity, variational corpora",5
A Hierarchical Knowledge Representation for Expert Finding on Social Media,2015,"hierarchical knowledge representation, expert finding, social media",2
"Tackling Sparsity, the Achilles Heel of Social Networks: Language Model Smoothing via Social Regularization",2015,"sparsity, achilles heel of social networks, language model smoothing, social regularization",8
{T}witter User Geolocation Using a Unified Text and Network Prediction Model,2015,"twitter user, geolocation, unified text, network prediction model",63
Automatic Keyword Extraction on {T}witter,2015,"automatic keyword extraction, twitter",40
Towards a Contextual Pragmatic Model to Detect Irony in Tweets,2015,"contextual pragmatic model, irony, tweets",53
Annotation and Classification of an Email Importance Corpus,2015,"annotation, classification, email importance corpus",3
Lexical Comparison Between {W}ikipedia and {T}witter Corpora by Using Word Embeddings,2015,"lexical comparison, wikipedia, twitter corpora, word embeddings",24
The Discovery of Natural Typing Annotations: User-produced Potential {C}hinese Word Delimiters,2015,"natural typing annotations, user-produced potential, chinese word delimiters, discovery",1
One Tense per Scene: Predicting Tense in {C}hinese Conversations,2015,"tense, chinese conversations",1
A Language-Independent Feature Schema for Inflectional Morphology,2015,"language-independent feature schema, inflectional morphology",64
Rhetoric Map of an Answer to Compound Queries,2015,"rhetoric map, answer, compound queries",19
Thread-Level Information for Comment Classification in Community Question Answering,2015,"thread-level information, comment classification, community question answering",38
Learning Hybrid Representations to Retrieve Semantically Equivalent Questions,2015,"hybrid representations, semantically equivalent questions, retrieve",80
"Machine Comprehension with Syntax, Frames, and Semantics",2015,"machine comprehension, syntax, frames, semantics",87
A Long Short-Term Memory Model for Answer Sentence Selection in Question Answering,2015,"long short-term memory model, answer sentence selection, question answering",292
Answer Sequence Learning with Neural Networks for Answer Selection in Community Question Answering,2015,"answer sequence learning, neural networks, answer selection, community question answering",53
Bilingual Word Embeddings from Non-Parallel Document-Aligned Data Applied to Bilingual Lexicon Induction,2015,"bilingual word embeddings, non-parallel document-aligned data, bilingual lexicon induction",118
How Well Do Distributional Models Capture Different Types of Semantic Knowledge?,2015,"distributional models, semantic knowledge",55
Low-Rank Tensors for Verbs in Compositional Distributional Semantics,2015,"low-rank tensors, verbs, compositional distributional semantics",19
Constrained Semantic Forests for Improved Discriminative Semantic Parsing,2015,"constrained semantic forests, improved discriminative semantic parsing",8
Automatic Identification of Rhetorical Questions,2015,"automatic identification, rhetorical questions",13
Lifelong Learning for Sentiment Classification,2015,"lifelong learning, sentiment classification",106
Harnessing Context Incongruity for Sarcasm Detection,2015,"context incongruity, sarcasm detection",173
Emotion Detection in Code-switching Texts via Bilingual and Sentimental Information,2015,"emotion detection, code-switching texts, bilingual information, sentimental information",16
Model Adaptation for Personalized Opinion Analysis,2015,"model adaptation, personalized opinion analysis",12
Linguistic Template Extraction for Recognizing Reader-Emotion and Emotional Resonance Writing Assistance,2015,"linguistic template extraction, recognizing reader-emotion, emotional resonance writing assistance",19
Aspect-Level Cross-lingual Sentiment Classification with Constrained {SMT},2015,"aspect-level, cross-lingual sentiment classification, constrained smt",15
Predicting Valence-Arousal Ratings of Words Using a Weighted Graph Method,2015,"valence-arousal ratings, words, weighted graph method",34
Multi-domain Dialog State Tracking using Recurrent Neural Networks,2015,"multi-domain dialog, state tracking, recurrent neural networks",149
