Year,formatted_title,Human extract words,SciBERT Extracted Words
2013,Dale: A Word Sense Disambiguation System For Biomedical Documents Trained Using Automatically Labeled Examples,"word sense disambiguation system, biomedical documents","dal, e, word, sense disambiguation, system for biomedical documents trained using automatically labeled examples, a"
1998,Coreference Resolution Strategies From An Application Perspective,,"from, core, an application perspective, ference resolution strategies"
1999,Formalizing Translation Memories,formalizing translation memories,"formal, translation memories, izing"
2004,Strategies For Advanced Question Answering,advanced question answering,"strategies for, question answering, advanced"
2009,Toward Using Morphology In French-English Phrase-Based Smt,rench-english phrase-based smt,"based, toward, in french  english, using morphology, smt, phrase"
2022,End-To-End Speech Translation Of Arabic To English Broadcast News,end-to-end speech translation,", to, speech, translation, lish broadcast news, of arabic, to eng, end"
2006,Development Of An Automatic Trend Exploration System Using The Must Data Collection,"automatic trend exploration system, must data collection","development, of, an automatic trend exploration system using the must data collection"
2015,Proceedings Of The Workshop Natural Language Processing For Translation Memories,"natural language processing, translation memories","translation memories, for, the, workshop, of, proceedings, natural language processing"
2014,Deep Neural Network Applied To Part-Of-Speech Tagging (R\'Eseau De Neurones Profond Pour L'\'Etiquetage Morpho-Syntaxique) [In French],"deep neural network, part-of-speech tagging","eau de neuron, , in french, es profond pour, deep neural, l, speech tagging, r, es, network applied, quetage morpho, syntaxique, eti, of, to part"
2021,Yseop At Finsim-3 Shared Task 2021: Specializing Financial Domain Learning With Phrase Representations,"specializing financial domain learning, phrase representations","ys, at, 3 shared task 2021  specializing financial domain learning with phrase representations, eop, sim, fin"
2018,Deepsa2018 At Semeval-2018 Task 1: Multi-Task Learning Of Different Label For Affect In Tweets,"multi-task learning, affect in tweets","multi, 2018 task 1, task learning of different label for affect in, deepsa, tweets, 8 at sem, 201, al, ev"
2021,Sliding Selector Network With Dynamic Memory For Extractive Summarization Of Long Documents,"sliding selector network, dynamic memory, extractive summarization","summarization of long documents, sliding, select, or network with dynamic memory for, extractive"
2010,Clause Identification And Classification In Bengali,clause identification and classification,clause identification and classification in bengali
2022,Is My Model Using The Right Evidence? Systematic Probes For Examining Evidence-Based Tabular Reasoning," systematic probes, examining evidence-based tabular reasoning",", probes for examining evidence, is my model using, the, right evidence, based tabular reasoning, systematic"
2002,An Agent-Based Approach To Chinese Named Entity Recognition,"entity recognition, agent-based approach",", to chinese named entity, an, based approach, recognition, agent"
2002,Using Contextual Spelling Correction To Improve Retrieval Effectiveness In Degraded Text Collections,"contextual spelling correction, retrieval effectiveness, degraded text collections","using contextual spelling correction to improve retrieval, in degraded text collections, effectiveness"
2005,Paradigmatic Modifiability Statistics For The Extraction Of Complex Multi-Word Terms,"extraction of complex multi-word terms, paradigmatic modifiability statistics","paradigm, multi  word terms, atic, of complex, modifiability statistics for, the extraction"
2014,Shift-Reduce Ccg Parsing With A Dependency Model,"shift-reduce ccg parsing, dependency model",", shift, cc, g parsing with a dependency model, reduce"
1988,A New Design Of Prolog-Based Bottom-Up Parsing System With Government-Binding Theory,"prolog-based bottom-up parsing system, government-binding theory",", up, system with government, based bottom, theory, new design, parsing, of, prolog, a, binding"
2022,A Closer Look At Parameter Contributions When Training Neural Language And Translation Models,"neural language, translation models","a closer look at, models, parameter contributions when training neural language and, translation"
