Index,GPT Extracted Words,Human Extracted Words,GPT Missed Ratio,Human Missed Ratio,GPT Only,Human Only,Precision,Recall,F1-Score
150,"{'parallel entity', 'treebank annotation'}","{'parallel entity', 'treebank annotation'}",0.0,0.0,set(),set(),1.0,1.0,1.0
151,"{'specialised corpora', 'skipgram word embeddings', 'unsupervised hypernym discovery', 'adapt at semeval2018 task 9'}","{'specialised corpora', 'unsupervised hypernym discovery'}",0.5,0.0,"{'skipgram word embeddings', 'adapt at semeval2018 task 9'}",set(),0.5,1.0,0.6666666666666666
152,"{'automatic pitch accent modeling', 'word informativeness'}","{'automatic pitch accent modeling', 'word informativeness'}",0.0,0.0,set(),set(),1.0,1.0,1.0
153,"{'metrics', 'analyses', 'data sets', 'robust grammatical error correction', 'new domains'}",{'robust grammatical error correction'},0.8,0.0,"{'data sets', 'metrics', 'analyses', 'new domains'}",set(),0.2,1.0,0.33333333333333337
154,"{'parallel dataset', 'vocabulary heterogeneity', 'rakuten', 'dataset filtering', 'wat 2022'}","{'parallel dataset filtering', 'leveraging vocabulary heterogeneity'}",1.0,1.0,"{'parallel dataset', 'vocabulary heterogeneity', 'rakuten', 'wat 2022', 'dataset filtering'}","{'parallel dataset filtering', 'leveraging vocabulary heterogeneity'}",0.0,0.0,0.0
155,"{'automatic extraction', 'text corpora', 'open compounds'}","{'automatic extraction', 'text corpora'}",0.3333333333333333,0.0,{'open compounds'},set(),0.6666666666666666,1.0,0.8
156,"{'semeval2007 task 06', 'prepositions', 'wordsense disambiguation'}",{'wordsense disambiguation'},0.6666666666666666,0.0,"{'semeval2007 task 06', 'prepositions'}",set(),0.3333333333333333,1.0,0.5
157,"{'lark trills', 'language drills', 'language learners', 'texttospeech technology'}","{'lark trills', 'language drills'}",0.5,0.0,"{'language learners', 'texttospeech technology'}",set(),0.5,1.0,0.6666666666666666
158,"{'gem benchmark 2021', 'nuigdsi'}",{'gem benchmark 2021'},0.5,0.0,{'nuigdsi'},set(),0.5,1.0,0.6666666666666666
159,{'commonsense knowledge base completion'},"{'completion', 'commonsense knowledge'}",1.0,1.0,{'commonsense knowledge base completion'},"{'completion', 'commonsense knowledge'}",0.0,0.0,0.0
160,"{'sigmorphon 2018 shared task', 'conll', 'universal morphological reinflection'}",{'universal morphological reinflection'},0.6666666666666666,0.0,"{'sigmorphon 2018 shared task', 'conll'}",set(),0.3333333333333333,1.0,0.5
161,"{'domain dependent knowhow knowledge base', 'warnings', 'advices'}",{'domain dependent knowhow knowledge base'},0.6666666666666666,0.0,"{'advices', 'warnings'}",set(),0.3333333333333333,1.0,0.5
162,"{'relational facts extraction', 'accurate distant supervision'}","{'relational facts extraction', 'accurate distant supervision'}",0.0,0.0,set(),set(),1.0,1.0,1.0
163,"{'types of corpora', 'features', 'sentence extraction'}","{'corpora', 'sentence extraction'}",0.6666666666666666,0.5,"{'types of corpora', 'features'}",{'corpora'},0.3333333333333333,0.5,0.4
164,"{'simple negation scope resolution', 'semantic solution', 'deep parsing', 'semantic problem'}","{'negation scope resolution', 'deep parsing'}",0.75,0.5,"{'simple negation scope resolution', 'semantic solution', 'semantic problem'}",{'negation scope resolution'},0.25,0.5,0.3333333333333333
165,"{'non standard uses', 'if'}",{'Non Standard Uses Of If'},1.0,1.0,"{'non standard uses', 'if'}",{'Non Standard Uses Of If'},0.0,0.0,0.0
166,"{'table entity linker', 'telin', 'machine learning publications', 'leaderboards'}","{'table entity linker', 'extracting leaderboards'}",0.75,0.5,"{'machine learning publications', 'telin', 'leaderboards'}",{'extracting leaderboards'},0.25,0.5,0.3333333333333333
167,"{'dialogue', 'esprit sundial project', 'telephone', 'speech understanding'}","{'esprit sundial project', 'speech understanding'}",0.5,0.0,"{'dialogue', 'telephone'}",set(),0.5,1.0,0.6666666666666666
168,"{'cameli', 'customer relationship', 'ameliorer la relation client', 'automatic email analysis', 'analyses automatiques demails'}",{'automatic email analysis'},0.8,0.0,"{'cameli', 'customer relationship', 'ameliorer la relation client', 'analyses automatiques demails'}",set(),0.2,1.0,0.33333333333333337
169,"{'database design', 'online elearning tool', 'chinese classifiers'}","{'online elearning tool', 'chinese classifiers'}",0.3333333333333333,0.0,{'database design'},set(),0.6666666666666666,1.0,0.8
170,{'national resource grammar'},{'national resource grammar'},0.0,0.0,set(),set(),1.0,1.0,1.0
171,"{'automatic speech transcripts', 'semantic similarity', 'recognition errors'}","{'detecting recognition errors', 'semantic similarity', 'automatic speech transcripts'}",0.3333333333333333,0.3333333333333333,{'recognition errors'},{'detecting recognition errors'},0.6666666666666666,0.6666666666666666,0.6666666666666666
172,"{'crandem approach', 'word recognition'}","{'crandem approach', 'word recognition'}",0.0,0.0,set(),set(),1.0,1.0,1.0
173,"{'language resources', 'evolving infrastructure', 'data scientists'}",{'infrastructure for language resources'},1.0,1.0,"{'language resources', 'evolving infrastructure', 'data scientists'}",{'infrastructure for language resources'},0.0,0.0,0.0
174,"{'automatic conversation evaluators', 'coherent and engaging spoken dialog response generation'}","{'automatic conversation evaluators', 'spoken dialog response generation'}",0.5,0.5,{'coherent and engaging spoken dialog response generation'},{'spoken dialog response generation'},0.5,0.5,0.5
175,"{'nlp', 'linguistics'}",{'nlp'},0.5,0.0,{'linguistics'},set(),0.5,1.0,0.6666666666666666
176,"{'answers', 'semantic relations', 'questions', 'kelp', 'semeval2016 task 3'}",{'learning semantic relations'},1.0,1.0,"{'answers', 'semantic relations', 'questions', 'kelp', 'semeval2016 task 3'}",{'learning semantic relations'},0.0,0.0,0.0
177,"{'linear models', 'competitive mwe identification', 'neural models'}","{'competitive mwe identification', 'linear and neural models'}",0.6666666666666666,0.5,"{'linear models', 'neural models'}",{'linear and neural models'},0.3333333333333333,0.5,0.4
178,"{'reprolang2020', 'collaborative type', 'language science', 'reproducibility', 'technology', 'shared task'}","{'foster reproducibility', 'reprolang2020'}",0.8333333333333334,0.5,"{'collaborative type', 'language science', 'reproducibility', 'technology', 'shared task'}",{'foster reproducibility'},0.16666666666666666,0.5,0.25
179,"{'amr aligner', 'transitionbased parser'}","{'amr aligner', 'transitionbased parser'}",0.0,0.0,set(),set(),1.0,1.0,1.0
180,"{'automatically labeled examples', 'word sense disambiguation system', 'biomedical documents', 'dale'}","{'word sense disambiguation system', 'biomedical documents'}",0.5,0.0,"{'automatically labeled examples', 'dale'}",set(),0.5,1.0,0.6666666666666666
181,"{'application perspective', 'coreference resolution strategies'}",{''},1.0,1.0,"{'coreference resolution strategies', 'application perspective'}",{''},0.0,0.0,0.0
182,{'translation memories'},{'formalizing translation memories'},1.0,1.0,{'translation memories'},{'formalizing translation memories'},0.0,0.0,0.0
183,"{'strategies', 'advanced question answering'}",{'advanced question answering'},0.5,0.0,{'strategies'},set(),0.5,1.0,0.6666666666666666
184,"{'frenchenglish phrasebased smt', 'morphology'}",{'renchenglish phrasebased smt'},1.0,1.0,"{'frenchenglish phrasebased smt', 'morphology'}",{'renchenglish phrasebased smt'},0.0,0.0,0.0
185,"{'endtoend speech translation', 'english broadcast news', 'arabic'}",{'endtoend speech translation'},0.6666666666666666,0.0,"{'english broadcast news', 'arabic'}",set(),0.3333333333333333,1.0,0.5
186,"{'must data collection', 'automatic trend exploration system'}","{'must data collection', 'automatic trend exploration system'}",0.0,0.0,set(),set(),1.0,1.0,1.0
187,"{'workshop', 'translation memories', 'natural language processing'}","{'translation memories', 'natural language processing'}",0.3333333333333333,0.0,{'workshop'},set(),0.6666666666666666,1.0,0.8
188,"{'deep neural network', 'reseau de neurones profond', 'letiquetage morphosyntaxique', 'partofspeech tagging'}","{'deep neural network', 'partofspeech tagging'}",0.5,0.0,"{'letiquetage morphosyntaxique', 'reseau de neurones profond'}",set(),0.5,1.0,0.6666666666666666
189,"{'yseop', 'financial domain learning', 'phrase representations', 'finsim3 shared task 2021'}","{'specializing financial domain learning', 'phrase representations'}",0.75,0.5,"{'yseop', 'financial domain learning', 'finsim3 shared task 2021'}",{'specializing financial domain learning'},0.25,0.5,0.3333333333333333
190,"{'semeval2018 task 1', 'tweets', 'label for affect', 'multitask learning', 'deepsa2018'}","{'affect in tweets', 'multitask learning'}",0.8,0.5,"{'deepsa2018', 'semeval2018 task 1', 'tweets', 'label for affect'}",{'affect in tweets'},0.2,0.5,0.28571428571428575
191,"{'sliding selector network', 'long documents', 'extractive summarization', 'dynamic memory'}","{'sliding selector network', 'extractive summarization', 'dynamic memory'}",0.25,0.0,{'long documents'},set(),0.75,1.0,0.8571428571428571
192,"{'clause identification', 'bengali', 'classification'}",{'clause identification and classification'},1.0,1.0,"{'clause identification', 'bengali', 'classification'}",{'clause identification and classification'},0.0,0.0,0.0
193,"{'systematic probes', 'evidencebased tabular reasoning', 'evidence', 'model'}","{'systematic probes', 'examining evidencebased tabular reasoning'}",0.75,0.5,"{'evidencebased tabular reasoning', 'evidence', 'model'}",{'examining evidencebased tabular reasoning'},0.25,0.5,0.3333333333333333
194,"{'chinese named entity recognition', 'agentbased approach'}","{'agentbased approach', 'entity recognition'}",0.5,0.5,{'chinese named entity recognition'},{'entity recognition'},0.5,0.5,0.5
195,"{'contextual spelling correction', 'degraded text collections', 'retrieval effectiveness'}","{'contextual spelling correction', 'degraded text collections', 'retrieval effectiveness'}",0.0,0.0,set(),set(),1.0,1.0,1.0
196,"{'paradigmatic modifiability statistics', 'extraction', 'complex multiword terms'}","{'paradigmatic modifiability statistics', 'extraction of complex multiword terms'}",0.6666666666666666,0.5,"{'extraction', 'complex multiword terms'}",{'extraction of complex multiword terms'},0.3333333333333333,0.5,0.4
197,"{'dependency model', 'shiftreduce ccg parsing'}","{'dependency model', 'shiftreduce ccg parsing'}",0.0,0.0,set(),set(),1.0,1.0,1.0
198,"{'governmentbinding theory', 'prologbased bottomup parsing system', 'design'}","{'governmentbinding theory', 'prologbased bottomup parsing system'}",0.3333333333333333,0.0,{'design'},set(),0.6666666666666666,1.0,0.8
199,"{'training', 'parameter contributions', 'translation models', 'neural language models'}","{'translation models', 'neural language'}",0.75,0.5,"{'training', 'parameter contributions', 'neural language models'}",{'neural language'},0.25,0.5,0.3333333333333333
